type,name,notice,furigana
容器包装プラスチック,オルゴール,全体の８０％以上金属のものは、埋立ごみの日の金属へ,お
容器包装プラスチック,温水洗浄機付便座,増改築に伴うものは請け負った業者に処分してもらう,お
容器包装プラスチック,温度計（水銀を含まない）,,お
容器包装プラスチック,温風機,,お
容器包装プラスチック,温冷庫,,お
容器包装プラスチック,カーカラーテレビ,,か
容器包装プラスチック,カーＣＤプレーヤー,,か
容器包装プラスチック,カーステレオ,,か
容器包装プラスチック,カーテン（７０㎝超）,広げたときに７０㎝を超えているものは、埋立ごみ,か
容器包装プラスチック,カーテンレール（金属製）,,か
容器包装プラスチック,カーナビゲーションシステム,,か
容器包装プラスチック,カーラジオ,,か
容器包装プラスチック,貝殻（食べ残し以外、置物等）,,か
容器包装プラスチック,懐中電灯,電池はとる,か
容器包装プラスチック,回転ハンガー（金属製）,,か
容器包装プラスチック,カイロ（懐炉）,全体の８０％以上金属のものは、埋立ごみの日の金属へ,か
容器包装プラスチック,鏡（７０㎝以下）,,か
容器包装プラスチック,学習机（金属製）,,か
容器包装プラスチック,家具調こたつ（７０㎝以下）,,か
容器包装プラスチック,額縁（金属以外）,はめ込み板がプラスチック製であれば、普通ごみ,か
容器包装プラスチック,額縁（金属製）,,か
容器包装プラスチック,傘,,か
容器包装プラスチック,傘立て（陶器製）,,か
容器包装プラスチック,傘立て（金属製）,,か
容器包装プラスチック,傘のほね（金属製）,,か
容器包装プラスチック,加湿器,,か
容器包装プラスチック,ガスオーブン・ガスオーブンレンジ,,か
容器包装プラスチック,ガス釜,,か
容器包装プラスチック,ガスコンロ,,か
容器包装プラスチック,ガスストーブ,,か
容器包装プラスチック,ガス台（７０㎝以下・金属以外）,,か
容器包装プラスチック,ガス台（７０㎝以下・金属製）,,か
容器包装プラスチック,ガステーブル,,か
容器包装プラスチック,ガスレンジ,電池はとる,か
容器包装プラスチック,カセットコンロ,ボンベは外す,か
容器包装プラスチック,カセットデッキ,,か
容器包装プラスチック,カッターナイフ,刃を紙で包み「危険」と表示して他のごみと分ける,か
容器包装プラスチック,家庭用焼却炉（金属以外、７０㎝以下）,,か
容器包装プラスチック,家庭用焼却炉（金属製）,,か
容器包装プラスチック,金網（バーベキュー用）,,か
容器包装プラスチック,かなづち,全体の８０％以上金属のものは、埋立ごみの日の金属へ,か
容器包装プラスチック,かばん（アタッシュケース）（金属製）,,か
容器包装プラスチック,花瓶,,か
容器包装プラスチック,鎌,刃を紙で包み「危険」と表示して他のごみと分ける,か
容器包装プラスチック,カミソリ（金属以外）,刃を紙で包み「危険」と表示して他のごみと分ける,か
容器包装プラスチック,カミソリ（金属製）,刃を紙で包み「危険」と表示して他のごみと分ける,か
容器包装プラスチック,神棚（７０㎝超）,,か
容器包装プラスチック,カメラ,,か
容器包装プラスチック,カラオケ演奏装置（７０㎝以下）,,か
容器包装プラスチック,ガラス製品,,か
容器包装プラスチック,軽石,,か
容器包装プラスチック,皮むき器(金属製）,,か
容器包装プラスチック,瓦,増改築に伴うものは請け負った業者に処分してもらう,か
容器包装プラスチック,缶（一斗缶）,,か
容器包装プラスチック,缶（２５㎝以上）,,か
容器包装プラスチック,缶（オイル）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,か
容器包装プラスチック,缶（菓子缶：ミルク缶など、２５㎝以上）,,か
容器包装プラスチック,換気扇,,か
容器包装プラスチック,缶切り,,か
容器包装プラスチック,乾燥機（家庭用・食器）,,か
容器包装プラスチック,乾燥機（家庭用・食器洗い）,,か
容器包装プラスチック,乾燥機（家庭用・布団）,,か
容器包装プラスチック,かんな,,か
容器包装プラスチック,キーボード（楽器、７０㎝以下）,,き
容器包装プラスチック,キーボード（パソコン用）,,き
容器包装プラスチック,ギターケース（７０㎝超）,,き
容器包装プラスチック,キックボード,全体の８０％以上金属のものは、埋立ごみの日の金属へ,き
容器包装プラスチック,キッチン収納棚（金属以外、７０㎝以下）,,き
容器包装プラスチック,キッチン収納棚（金属製）,,き
容器包装プラスチック,杵,,き
容器包装プラスチック,脚立（金属以外）,,き
容器包装プラスチック,脚立（金属製）,,き
容器包装プラスチック,キャスターハンガー（金属以外、７０㎝以下）,,き
容器包装プラスチック,キャスターハンガー（金属製）,,き
容器包装プラスチック,キャビネット（金属以外、７０㎝以下）,,き
容器包装プラスチック,キャビネット（金属製）,,き
容器包装プラスチック,キャリアー（車用、金属以外）,７０㎝を超えるルーフボックスは有料粗大ごみ,き
容器包装プラスチック,キャリアー（車用、金属製）,,き
容器包装プラスチック,急須,,き
容器包装プラスチック,給湯器,電池はとる,き
容器包装プラスチック,鏡台（７０㎝以下）,,き
容器包装プラスチック,きり,先端部を紙で包み「危険」と表示して他のごみと分ける,き
容器包装プラスチック,金庫（耐火）,おおむね５５㎏以上のものは市では収集できません　,き
容器包装プラスチック,金庫（手提げ）,,き
容器包装プラスチック,空気入れ（金属製）,,く
容器包装プラスチック,空気清浄機,,く
容器包装プラスチック,釘,紙で包み「危険」と表示,く
容器包装プラスチック,草刈り機（手動式）,,く
容器包装プラスチック,鎖（金属製）,,く
容器包装プラスチック,串(金属製）,紙で包み「危険」と表示,く
容器包装プラスチック,口紅の容器（金属製）,,く
容器包装プラスチック,くつ（スキーブーツ・スケート靴）,,く
容器包装プラスチック,くつのスパイク（金属製）,,く
容器包装プラスチック,クッキングヒーター,,く
容器包装プラスチック,クッション（７０㎝超）,,く
容器包装プラスチック,グランドゴルフスティック,,く
容器包装プラスチック,グリル鍋（金属以外）,,く
容器包装プラスチック,グリル鍋（金属製）,,く
容器包装プラスチック,車(幼児用）（金属製または電動製）,電池で動くものは、電池をとる。,く
容器包装プラスチック,車(幼児用）（「金属製または電動製」以外・７０㎝超),,く
容器包装プラスチック,車椅子（折りたたみ式・電動式）,電動式はバッテリーを外す,く
容器包装プラスチック,グローランプ,,く
容器包装プラスチック,くわ（鍬）,,く
容器包装プラスチック,蛍光灯（本体）,,け
容器包装プラスチック,携帯電話,販売店に引き取りを依頼してください,け
容器包装プラスチック,ゲートボールスティック,,け
容器包装プラスチック,ケーブル,,け
容器包装プラスチック,ケーブルテレビ用セットトップボックス,レンタルの場合は、借りたお店に返却してください,け
容器包装プラスチック,ゲーム機（ＴＶゲーム・ポケットゲーム）,,け
容器包装プラスチック,ゲーム用コントローラー,,け
容器包装プラスチック,化粧品のガラスびん,,け
容器包装プラスチック,化粧容器（金属製）,,け
容器包装プラスチック,げた箱（金属製）,増改築に伴うものは請け負った業者に処分してもらう,け
容器包装プラスチック,血圧計（デジタル式）,電池はとる,け
容器包装プラスチック,健康増進器具（金属以外）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,け
容器包装プラスチック,健康増進器具（金属製）,,け
容器包装プラスチック,剣道用具（竹刀、７０㎝超）,,け
容器包装プラスチック,剣道用具（面）,,け
容器包装プラスチック,碁石,,こ
容器包装プラスチック,公衆用ＰＨＳ端末,,こ
容器包装プラスチック,コード,,こ
容器包装プラスチック,コートハンガー（金属製）,,こ
容器包装プラスチック,コーヒーメーカー,,こ
容器包装プラスチック,こたつ（７０㎝以下）,,こ
容器包装プラスチック,コップ（ガラス製）,,こ
容器包装プラスチック,琴,,こ
容器包装プラスチック,粉々のびん,,こ
容器包装プラスチック,碁盤（厚さ１０㎝以上）,,こ
容器包装プラスチック,コピー機（家庭用）,,こ
容器包装プラスチック,ごみ箱(金属製）,,こ
容器包装プラスチック,ゴムホース（７０㎝超）,伸ばしたときに７０㎝を超えているものは、埋立ごみ,こ
容器包装プラスチック,ゴムボート,空気を抜いて,こ
容器包装プラスチック,米びつ（金属製）,,こ
容器包装プラスチック,コルクボード（７０㎝超）,,こ
容器包装プラスチック,ゴルフクラブ,カーボン製は埋立ごみ,こ
容器包装プラスチック,ゴルフバック,,こ
容器包装プラスチック,コンパクト,,こ
容器包装プラスチック,コンポスト容器（７０㎝超）,,こ
容器包装プラスチック,コンロ（バーベキュー用）,,こ
容器包装プラスチック,サイクリングマシン（「金属以外、７０㎝超」以外）,,さ
容器包装プラスチック,座いす（金属以外、７０㎝以下）,,さ
容器包装プラスチック,座いす（金属製）,,さ
容器包装プラスチック,サイドボード（７０㎝以下）,,さ
容器包装プラスチック,裁縫箱（金属製）,,さ
容器包装プラスチック,さしこ（竹製鳥かご、７０㎝超）,,さ
容器包装プラスチック,サッシ（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,さ
容器包装プラスチック,サッシ（金属製）,増改築に伴うものは請け負った業者に処分してもらう　　,さ
容器包装プラスチック,座ぶとん（７０㎝超）,,さ
容器包装プラスチック,皿,,さ
容器包装プラスチック,三角コーナー（金属製）,,さ
容器包装プラスチック,三脚（カメラ、ビデオ）（金属以外）,,さ
容器包装プラスチック,三脚（カメラ、ビデオ）（金属製）,,さ
容器包装プラスチック,サングラス,レンズがプラスチック製のものは、普通ごみ,さ
容器包装プラスチック,さんご,,さ
容器包装プラスチック,三輪車,「不用品」と必ず表示,さ
容器包装プラスチック,CSデジタルアンテナ,,し
容器包装プラスチック,CSデジタルチューナー,,し
容器包装プラスチック,ＣＤプレーヤー,,し
容器包装プラスチック,ＣＤラジカセ,,し
容器包装プラスチック,シーツ（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、普通ごみ,し
容器包装プラスチック,シート（車）,,し
容器包装プラスチック,磁気マットレス（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,し
容器包装プラスチック,磁石,,し
容器包装プラスチック,七輪,,し
容器包装プラスチック,自転車,「不用品」と必ず表示,し
容器包装プラスチック,自転車（電動アシスト付き）,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ,し
容器包装プラスチック,自動車カバー（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、普通ごみ,し
容器包装プラスチック,竹刀（７０㎝超）,,し
容器包装プラスチック,蛇口,,し
容器包装プラスチック,ジャッキ,,し
容器包装プラスチック,ジャングルジム（子ども用遊具）,パイプがプラスチック製または紙製でかつ７０㎝以下ものは普通ごみ,し
容器包装プラスチック,シャンデリア（７０㎝以下）,電球は外す,し
容器包装プラスチック,シャンプードレッサー（７０㎝以下）,,し
容器包装プラスチック,ジューサー,,し
容器包装プラスチック,シューズボックス（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
容器包装プラスチック,収納ケース・箱・ボックス（金属製）,,し
容器包装プラスチック,収納棚（金属製）,,し
容器包装プラスチック,将棋盤（厚さ１0㎝以上）,,し
容器包装プラスチック,障子（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
容器包装プラスチック,浄水器,,し
容器包装プラスチック,照明器具（「金属以外、７０㎝超」以外）,電球は外す,し
容器包装プラスチック,照明器具のかさ（ガラス製）,,し
容器包装プラスチック,照明器具のかさ（金属製）,,し
容器包装プラスチック,じょうろ(金属製）,,し
容器包装プラスチック,書棚（金属製）,,し
容器包装プラスチック,食器（ガラス製・陶磁器製）,,し
容器包装プラスチック,食器（金属製）,,し
容器包装プラスチック,食器洗い乾燥機,,し
容器包装プラスチック,食器洗い器,,し
容器包装プラスチック,食器乾燥機,,し
容器包装プラスチック,食器棚（７０㎝以下）,,し
容器包装プラスチック,ショッピングカート(金属製）,,し
容器包装プラスチック,書類用バインダーの金具,,し
容器包装プラスチック,シルバーカー,「不用品」と必ず表示,し
容器包装プラスチック,人工芝（７０㎝超）,,し
容器包装プラスチック,水槽（７０㎝以下）,,す
容器包装プラスチック,水中めがね,レンズがプラスチック製のものは、普通ごみ,す
容器包装プラスチック,水筒（金属製）,,す
容器包装プラスチック,炊飯器（内釜含む）,,す
容器包装プラスチック,スーツケース（金属製）,,す
容器包装プラスチック,姿見（７０㎝以下）,,す
容器包装プラスチック,スキー板（７０㎝以下）,,す
容器包装プラスチック,スキーキャリア（金属以外）,,す
容器包装プラスチック,スキーキャリア（金属製）,,す
容器包装プラスチック,スキャナー,,す
容器包装プラスチック,スケートボード,,す
容器包装プラスチック,スコップ（金属製）,,す
容器包装プラスチック,硯（すずり）,,す
容器包装プラスチック,すだれ（竹製・プラスチック製・７０㎝超）,１辺７０㎝以下に裁断すれば、普通ごみ,す
容器包装プラスチック,スタンドミラー（７０㎝以下）,,す
容器包装プラスチック,ステレオセット（７０㎝以下）,,す
容器包装プラスチック,ストーブ,,す
容器包装プラスチック,ストーブガード,,す
容器包装プラスチック,スノーダンプ（金属以外・７０㎝超）,,す
容器包装プラスチック,スノーダンプ（金属製）,,す
容器包装プラスチック,スノーボード（７０㎝以下）,,す
容器包装プラスチック,すのこ（７０㎝超）,,す
容器包装プラスチック,スピーカー（７０㎝以下）,,す
容器包装プラスチック,スプーン（金属製）,,す
容器包装プラスチック,ズボンプレッサー（７０㎝以下）,,す
容器包装プラスチック,スリッパ立て（金属以外・７０㎝超）,,す
容器包装プラスチック,スリッパ立て（金属製）,,す
容器包装プラスチック,すり鉢,,す
容器包装プラスチック,精米機（家庭用）,,せ
容器包装プラスチック,石油ストーブ,油を抜いて電池を取る,せ
容器包装プラスチック,石油タンク,油は抜く,せ
容器包装プラスチック,石油ポンプ（電動式）,電池はとる,せ
容器包装プラスチック,洗濯ばさみ（金属製）,,せ
容器包装プラスチック,洗濯用ハンガー（金属製）,,せ
容器包装プラスチック,栓抜き（金属以外）,,せ
容器包装プラスチック,栓抜き（金属製）,,せ
容器包装プラスチック,扇風機（７０㎝以下）,,せ
容器包装プラスチック,洗面器（金属製）,,せ
容器包装プラスチック,洗面化粧台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,せ
容器包装プラスチック,双眼鏡,,そ
容器包装プラスチック,掃除機,,そ
容器包装プラスチック,ソファー（７０㎝以下・スプリングあり）,,そ
容器包装プラスチック,ソファーベッド（７０㎝以下・スプリングあり）,,そ
容器包装プラスチック,体温計（水銀を含まない）,電池はとる,た
容器包装プラスチック,体重計(家庭用）,,た
容器包装プラスチック,耐火金庫,おおむね５５㎏以上のものは市では収集できません,た
容器包装プラスチック,台車,,た
容器包装プラスチック,タイヤチェーン（金属製）,,た
容器包装プラスチック,タイヤホイール,,た
容器包装プラスチック,高枝切りばざみ（金属以外）,,た
容器包装プラスチック,高枝切りばさみ（金属製）,,た
容器包装プラスチック,竹馬（金属製）,,た
容器包装プラスチック,竹馬（竹・木製、７０㎝超）,,た
容器包装プラスチック,竹ぼうき（７０㎝超）,,た
容器包装プラスチック,たらい(金属製）,,た
容器包装プラスチック,たる（７０㎝超）,,た
容器包装プラスチック,たわし(金属製）,,た
容器包装プラスチック,ダンベル（金属製）,,た
容器包装プラスチック,チェーン（金属製）,,ち
容器包装プラスチック,地球儀,,ち
容器包装プラスチック,地上デジタルチューナー,,ち
容器包装プラスチック,チャイルドシート,,ち
容器包装プラスチック,茶碗,,ち
容器包装プラスチック,チューナー,,ち
容器包装プラスチック,調理台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,ち
容器包装プラスチック,ちりとり（金属製）,,ち
容器包装プラスチック,ついたて（金属製）,,つ
容器包装プラスチック,使い捨てカイロ,,つ
容器包装プラスチック,机（金属製）,,つ
容器包装プラスチック,漬けもの石（市販のもの）,,つ
容器包装プラスチック,漬けもの桶,７０㎝以下なら普通ごみ,つ
容器包装プラスチック,つぼ,,つ
容器包装プラスチック,釣りざお,,つ
容器包装プラスチック,つるはし,,つ
容器包装プラスチック,DVDプレーヤー,,て
容器包装プラスチック,ディスプレイ（パソコン以外）,,て
容器包装プラスチック,テーブル（金属製）,,て
容器包装プラスチック,テープレコーダー,,て
容器包装プラスチック,手押し車,「不用品」と必ず表示,て
容器包装プラスチック,手鏡,,て
容器包装プラスチック,手提げ金庫,,て
容器包装プラスチック,デジタルカメラ,電池はとる,て
容器包装プラスチック,デジタル血圧計,電池はとる,て
容器包装プラスチック,鉄アレイ,,て
容器包装プラスチック,鉄板（バーベキュー用）,,て
容器包装プラスチック,鉄棒（子ども用遊具）,,て
容器包装プラスチック,テニスラケット,,て
容器包装プラスチック,テレビゲーム,,て
容器包装プラスチック,テレビ台（金属製）,,て
容器包装プラスチック,電気アンカ,,て
容器包装プラスチック,電気カーペット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
容器包装プラスチック,電気かみそり,,て
容器包装プラスチック,電気コード,,て
容器包装プラスチック,電気こたつ（７０㎝以下）,,て
容器包装プラスチック,電気炊飯器（内釜含む）,,て
容器包装プラスチック,電気スタンド（「金属以外、７０㎝超」以外）,,て
容器包装プラスチック,電気ストーブ,,て
容器包装プラスチック,電気のこぎり,,て
容器包装プラスチック,電気ポット,,て
容器包装プラスチック,電気毛布（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
容器包装プラスチック,電球,,て
容器包装プラスチック,電気ランタン,電池は取る,て
容器包装プラスチック,電子辞書,,て
容器包装プラスチック,電磁調理器,,て
容器包装プラスチック,電子手帳,,て
容器包装プラスチック,電子レンジ,,て
容器包装プラスチック,天体望遠鏡,,て
容器包装プラスチック,電卓,,て
容器包装プラスチック,テント（レジャー用）,,て
容器包装プラスチック,点灯管,,て
容器包装プラスチック,電動かんな,,て
容器包装プラスチック,電動自転車,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ　,て
容器包装プラスチック,電動ドリル,,て
容器包装プラスチック,電動のこぎり,,て
容器包装プラスチック,テントの支柱（レジャー用、金属製）,,て
容器包装プラスチック,電話機,,て
容器包装プラスチック,電話台,,て
容器包装プラスチック,ドア（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,と
容器包装プラスチック,ドア（金属製）,増改築に伴うものは請け負った業者に処分してもらう,と
容器包装プラスチック,砥石,,と
容器包装プラスチック,陶器製食器（湯飲み・茶碗・皿など）,,と
容器包装プラスチック,灯油缶（プラスチック製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
容器包装プラスチック,灯油缶（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
容器包装プラスチック,トースター,,と
容器包装プラスチック,時計（壁掛け・目覚まし・腕）,,と
容器包装プラスチック,戸棚（金属製）,,と
容器包装プラスチック,トタン板,,と
容器包装プラスチック,ドライバー,全体の８０％以上金属のものは、埋立ごみの日の金属へ,と
容器包装プラスチック,ドラム缶（あき缶）,,と
容器包装プラスチック,トランク（金属製）,,と
容器包装プラスチック,トランシーバー,,と
容器包装プラスチック,トランポリン（子ども用遊具）,,と
容器包装プラスチック,鳥かご（金属製）,,と
容器包装プラスチック,塗料容器（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
容器包装プラスチック,トレーニング機器（金属以外・７０㎝以下）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,と
容器包装プラスチック,トレーニング機器（金属製）,,と
容器包装プラスチック,ドレッサー（７０㎝以下）,,と
容器包装プラスチック,トロフィー,プラスチック製のものは、普通ごみ,と
容器包装プラスチック,ナイフ,刃を紙で包み「危険」と表示して、他のごみと分ける,な
容器包装プラスチック,流し台（７０㎝以下）,,な
容器包装プラスチック,ながもち（７０㎝以下）,,な
容器包装プラスチック,ナタ（鉈）,刃を紙で包み「危険」と表示して他のごみと分ける,な
容器包装プラスチック,ナツメ球,,な
容器包装プラスチック,鍋（金属製）,,な
容器包装プラスチック,鍋（耐熱ガラス製）,,な
容器包装プラスチック,生ごみ処理機(家庭用・電気式）,,な
容器包装プラスチック,なまり（釣り用おもり）,,な
容器包装プラスチック,波板（金属製）,,な
容器包装プラスチック,荷造り用ひもバンド（７０㎝超）,７０㎝以下に裁断すれば、普通ごみ,に
容器包装プラスチック,日本人形ケース,,に
容器包装プラスチック,庭池,,に
容器包装プラスチック,人形（ぬいぐるみ、７０㎝超）,,に
容器包装プラスチック,人形ケース,,に
容器包装プラスチック,ぬいぐるみ（７０㎝超）,,ぬ
容器包装プラスチック,猫砂（粘土製）,,ね
容器包装プラスチック,寝袋（７０㎝超）,,ね
容器包装プラスチック,ねんど（学用品）,,ね
容器包装プラスチック,農薬のびん（家庭菜園用）,中身が残っているものは市で収集できないので専門業者に処分を依頼,の
容器包装プラスチック,のこぎり,,の
容器包装プラスチック,ノブ（ドア）,,の
容器包装プラスチック,のみ（鑿）,,の
容器包装プラスチック,海苔の缶（２５㎝以上）,,の
容器包装プラスチック,ハードディスクドライブ（ＨＤＤ）,,は
容器包装プラスチック,バーベキューコンロ,,は
容器包装プラスチック,バーベル,,は
容器包装プラスチック,ハーモニカ,,は
容器包装プラスチック,灰皿（ガラス製・陶器製）,,は
容器包装プラスチック,パイプいす（金属製）,,は
容器包装プラスチック,はかり（料理用）,,は
容器包装プラスチック,剥製（はくせい）,,は
容器包装プラスチック,白熱球,,は
容器包装プラスチック,バケツ（金属製）,,は
容器包装プラスチック,はさみ（金属以外）,,は
容器包装プラスチック,はさみ（金属製）,,は
容器包装プラスチック,はしご（金属製）,,は
容器包装プラスチック,柱時計,,は
容器包装プラスチック,バスケットゴール（金属製）,,は
容器包装プラスチック,パソコン机（金属製）,,は
容器包装プラスチック,パソコン用キーボード,,は
容器包装プラスチック,パソコン用プリンター,,は
容器包装プラスチック,パソコン用ラック（金属製）,,は
容器包装プラスチック,パチンコ・スロット台（個人用）,,は
容器包装プラスチック,バット（木製、７０㎝超）,,は
容器包装プラスチック,バット（金属製）,,は
容器包装プラスチック,花台（金属以外、７０㎝超）,,は
容器包装プラスチック,花台（金属製）,,は
容器包装プラスチック,パネルヒーター,,は
容器包装プラスチック,歯ブラシ（電動）,電池はとる,は
容器包装プラスチック,針,紙で包み「危険」と表示,は
容器包装プラスチック,針金,,は
容器包装プラスチック,ハロゲンストーブ,,は
容器包装プラスチック,ハンガー（金属製）,,は
容器包装プラスチック,ハンガースタンド（金属製）,,は
容器包装プラスチック,飯ごう,,は
容器包装プラスチック,パンツプレス（７０㎝以下）,,は
容器包装プラスチック,ハンドヘルドゲーム,,は
容器包装プラスチック,ハンマー（金属製）,,は
容器包装プラスチック,ハンマー（木製、７０㎝超）,,は
容器包装プラスチック,ＰＰバンド（７０㎝超）,７０㎝以下に裁断すれば、普通ごみ,ひ
容器包装プラスチック,ビーチパラソル,,ひ
容器包装プラスチック,ビー玉,,ひ
容器包装プラスチック,ひげそり（手動式）,刃を紙で包み「危険」と表示して他のごみと分ける,ひ
容器包装プラスチック,ひげそり（電気式）,電池はとる,ひ
容器包装プラスチック,ＶＩＣＳ（ビックス）ユニット,,ひ
容器包装プラスチック,ビデオカメラ,電池はとる,ひ
容器包装プラスチック,ビデオデッキ,,ひ
容器包装プラスチック,ビニールシート（家庭菜園用）,,ひ
容器包装プラスチック,ビニールホース,,ひ
容器包装プラスチック,ビニールロッカー（７０㎝以下）,,ひ
容器包装プラスチック,火鉢,,ひ
容器包装プラスチック,百円ライター,ガスを使い切って,ひ
容器包装プラスチック,ファクシミリ,,ふ
容器包装プラスチック,ファンシーケース（金属製）,,ふ
容器包装プラスチック,ファンヒーター,油を抜いて電池を取る,ふ
容器包装プラスチック,フォーク（金属製）,刃を紙で包み「危険」と表示して、他のごみと分ける,ふ
容器包装プラスチック,フォトプリンター,,ふ
容器包装プラスチック,仏壇（７０㎝以下）,,ふ
容器包装プラスチック,筆箱（金属製）,,ふ
容器包装プラスチック,ふとん乾燥機,,ふ
容器包装プラスチック,ふとんたたき（金属製）,,ふ
容器包装プラスチック,フライパン,,ふ
容器包装プラスチック,ブラインド（金属以外）,１辺７０㎝以下に裁断すれば、普通ごみ,ふ
容器包装プラスチック,ブラインド（金属製）,,ふ
容器包装プラスチック,プラグ・ジャック,,ふ
容器包装プラスチック,ぶらさがり健康器,全体の８０％以上金属のものは、埋立ごみの日の金属へ,ふ
容器包装プラスチック,フラワースタンド（金属製）,,ふ
容器包装プラスチック,ブランコ（金属製）,,ふ
容器包装プラスチック,プリンター,,ふ
容器包装プラスチック,ブルーレイディスクレコーダー/プレーヤー,,ふ
容器包装プラスチック,プレーヤー,,ふ
